,Decade,Year,Country,Area,Location,Injury,Fatal (Y/N)
1339,2000,2007.0,USA,California,"Marina State Beach, Monterey County",Lacerations to thigh & torso,N
1340,2000,2007.0,USA,Florida,"New Smyrna Beach, Volusia County",Left hand  bitten,N
1341,2000,2007.0,USA,Florida,"New Smyrna Beach, Volusia County", 6 lacerations to left hand,N
1342,2000,2007.0,USA,North Carolina,North Carolina Aquarium at Fort Fisher,Minor injury from captive shark PROVOKED INCIDENT,N
1343,2000,2007.0,USA,Delaware,"Indian River Inlet, Rehoboth Beach",Forearm bitten by hooked shark PROVOKED INCIDENT,N
1344,2000,2007.0,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Torso bitten,N
1345,2000,2007.0,USA,Florida,"New Smyrna Beach, Volusia County",Foot bitten,N
1346,2000,2007.0,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Right calf bitten,N
1347,2000,2007.0,USA,Florida,Sarasota Bay,Puncture wounds to torso,N
1348,2000,2007.0,USA,Florida,"New Smyrna Beach, Volusia County","Minor injury, small lacerations to right foot",N
1349,2000,2007.0,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County","Minor injury, lacerations to left ankle & foot ",N
1350,2000,2007.0,USA,South Carolina,"Isle of Palms, Charleston County",Lacerations to right foot,N
1351,2000,2007.0,USA,South Carolina,"Isle of Palms, Charleston County",Lacerations to lower leg & ankle,N
1352,2000,2007.0,USA,Florida,"Islamorada, Monroe County",Lacerations to arm,N
1353,2000,2007.0,USA,Florida,"Ponce Inlet, Volusia County",Minor injury to shoulder,N
1354,2000,2007.0,USA,California,"Imperial Beach, San Diego County","No injury, shark bit surfboard",N
1355,2000,2007.0,USA,California,"Malibu, Los Angeles County","No injury, surfboard bumped by shark for 20 minutes",N
1356,2000,2007.0,USA,California,"Bean Hollow State Beach, San Mateo County","No injury, kayak bitten",N
1357,2000,2007.0,USA,Hawaii,"Bellows Beach near Wailea Point, Oahu",Left calf severely bitten,N
1358,2000,2007.0,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,Calf bitten,N
1359,2000,2007.0,USA,North Carolina,"North Topsail Beach, Onslow  County",Right calf bitten,N
1362,2000,2007.0,USA,North Carolina,"Atlantic Beach, Carteret County",Lacerations to right thigh & left foot,N
1363,2000,2007.0,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,"Lacerations to thumb, ring and pinky fingers of right hand ",N
1364,2000,2007.0,USA,Florida,"Ponce Inlet, Volusia County",Right foot bitten,N
1365,2000,2007.0,REUNION,,Boucan Canot,Minor injuries to thigh & knee ,N
1367,2000,2007.0,USA,Florida,Marques Island,Lacerations to right  hand by hooked shark PROVOKED INCIDENT,N
1368,2000,2007.0,USA,California,"Will Rogers State Beach, Los Angeles County",Hand bitten,N
1369,2000,2007.0,USA,Florida,"New Smyrna Beach, Volusia County",6 to 8 puncture wounds to right hand,N
1370,2000,2007.0,USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu","No injury, board damaged",N
1372,2000,2007.0,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Right foot bitten,N
1373,2000,2007.0,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",Lacerations to leg & ankle,N
1374,2000,2007.0,USA,South Carolina,Garden City,Lacerations to lower leg,N
1375,2000,2007.0,USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Left shin bitten by captive shark PROVOKED INCIDENT,N
1376,2000,2007.0,ENGLAND,Kent,Folkestone,Bitten on the nose by a hooked shark PROVOKED INCIDENT,N
1377,2000,2007.0,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Left heel & calf bitten,N
1378,2000,2007.0,AUSTRALIA,Victoria,Warrnambool,"No injury, shark's fin caught his leg",N
1379,2000,2007.0,USA,Florida,"New Smyrna Beach, Volusia County",Knee bitten,N
1382,2000,2007.0,USA,Hawaii,"Keawakapu Beach, Maui",Right foot bitten,N
1383,2000,2007.0,USA,Florida,Naples,Circular bite on left thigh,N
1385,2000,2007.0,BAHAMAS,Bimini Islands,,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,N
1386,2000,2007.0,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Lower leg & foot injured,N
1387,2000,2007.0,USA,Florida,"Hutchinson Island, St. Lucie County",Left foot bitten,N
1388,2000,2007.0,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to left index finger & thumb ,N
1389,2000,2007.0,USA,Florida,"Florida Keys, Monroe County","No injury to occupants, shark holed the transom-mounted livewell ",N
1390,2000,2007.0,NEW CALEDONIA,South Province,Dumbéa,Left foot bitten,N
1391,2000,2007.0,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations & puncture wounds to right calf,N
1392,2000,2007.0,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Lacerations to right ankle ,N
1393,2000,2007.0,USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",Minor cuts to right buttock & thigh,N
1395,2000,2007.0,USA,Florida,Jupiter Inlet,Punctures & lacerations to right calf & calf,N
1396,2000,2007.0,AUSTRALIA,New South Wales,South Golden Beach,Lacerations to 3 fingers of left hand ,N
1397,2000,2007.0,USA,Florida,Delray Beach,Right hand bitten by hooked shark PROVOKED INCIDENT,N
1398,2000,2007.0,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg","Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N
1399,2000,2007.0,USA,Florida,"Tiger Shores Beach, Martin County",Lacerations to right forearm & hand,N
1400,2000,2007.0,NEW ZEALAND,Cook islans,Penhryn Island,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,N
1402,2000,2007.0,AUSTRALIA,New South Wales,Shelly Beach,Lacerations to  lower left leg & ankle ,N
1403,2000,2007.0,NEW CALEDONIA,Loyalty Islands,Ouvéa,Survived,N
1404,2000,2007.0,NEW CALEDONIA,North Province,Kaala-Gomen ,Leg bitten,N
1405,2000,2007.0,USA,Florida,100 miles off Ft. Myers Beach,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N
1406,2000,2007.0,AUSTRALIA,New South Wales,Cape Howe,Head & torso bitten,N
1408,2000,2007.0,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's","Presumed FATAL, body not recovered",Y
1409,2000,2007.0,AUSTRALIA,New South Wales,Sandbar Beach,"No injury, shark damaged surfboard",N
1411,2000,2007.0,USA,Hawaii,"Majors Bay, Kaua'i","No injury, shark removed piece of surfboard",N
1412,2000,2006.0,AUSTRALIA,Victoria,"Winki Pop, Bells Beach",Left leg bitten,N
1413,2000,2006.0,NEW ZEALAND,North Island,"Raglan, Manu Bay",Foot bitten,N
1414,2000,2006.0,USA,California,"Dillon Beach, Marin County","Minor injuries, surfboard bitten",N
1415,2000,2006.0,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N
1416,2000,2006.0,AUSTRALIA,Western Australia,Wharton Beach,"Right leg severed, left leg lacerated",N
1417,2000,2006.0,PHILIPPINES,Surigao del Norte,"Off Bilisan Point, Hinatuarn Island",15 perished but shark involvement prior to death was not confirmed,Y
1418,2000,2006.0,USA,Hawaii,"Kihei, Maui",Laceration to left thigh & left hand,N
1419,2000,2006.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N
1420,2000,2006.0,USA,Oregon,"Siletz River mouth, Lincoln County","No injury, surfboard bitten",N
1421,2000,2006.0,USA,Florida,Sebastian Inlet,Lower right leg and foot bitten,N
1422,2000,2006.0,USA,Florida,"Daytona Beach, Volusia County",Left ankle bitten,N
1423,2000,2006.0,USA,Texas,"Isla Blanca Park, South Padre Island",Lacerations to lower left leg,N
1424,2000,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to foot,N
1425,2000,2006.0,BAHAMAS,New Providence Island,Nassau,Puncture wounds to left foot,N
1428,2000,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",Big toe bitten,N
1429,2000,2006.0,USA,Florida,"Off Key Largo, Monroe County",Lacerations to upper lip    PROVOKED INCIDENT,N
1430,2000,2006.0,USA,North Carolina,Onslow Beach,Laceration to left thigh,N
1431,2000,2006.0,USA,Florida,"Singer Island, Riviera Beach",Minor injury to left hand,N
1432,2000,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",Left torso grazed,N
1434,2000,2006.0,BRAZIL,,,FATAL,Y
1435,2000,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",Puncture wounds and cuts to right thigh,N
1436,2000,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",Arm bitten,N
1437,2000,2006.0,SOUTH AFRICA,Western Cape Province,Noordhoek,"No injury, shark rammed surfboard",N
1438,2000,2006.0,USA,Oregon,"Florence, Lane County",Laceration & puncture wounds to foot,N
1439,2000,2006.0,AUSTRALIA,South Australia,"Pennington Bay, Kangaroo Island","No injury, shark towed  surfer & board",N
1440,2000,2006.0,REUNION,Saint-Gilles-les-Bains,"Les Aigrettes, near Boucan-Canot",Laceration to right calf & heel,N
1443,2000,2006.0,ITALY,,Lampedusa Island,FATAL,Y
1444,2000,2006.0,REUNION,Saint-Pierre,Pointe du Diable,FATAL,Y
1445,2000,2006.0,SOUTH AFRICA,Western Cape Province,Danger Reef,"No injury, surfboard leash severed",N
1446,2000,2006.0,SOUTH AFRICA,Western Cape Province,"Sunrise Beach, Muizenberg",Foot severed,N
1447,2000,2006.0,USA,North Carolina,"Masonboro Island, New Hanover County",Lacerations & punctures to left foot,N
1448,2000,2006.0,REUNION,,Le Port,Thigh bitten,N
1449,2000,2006.0,USA,Kentucky,"Newport Aquarium, Newport","Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N
1450,2000,2006.0,USA,Oregon,Oswald State Park,Minor injury,N
1451,2000,2006.0,USA,California,"Broad Beach, Malibu, Los Angeles County","Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N
1452,2000,2006.0,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Foot bitten,N
1453,2000,2006.0,SOUTH AFRICA,Western Cape Province,Fish Hoek,"No injury, surf ski bitten",N
1454,2000,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",Minor lacerations to right foot,N
1455,2000,2006.0,USA,Texas,"Sargent Beach, Matagorda County",Right foot bitten,N
1457,2000,2006.0,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",Left ankle & foot bitten,N
1459,2000,2006.0,USA,South Carolina,"Kiawah Island, Charleston County",Ankle & foot bitten,N
1460,2000,2006.0,BRAZIL,Pernambuco,Body recovered at Goiana,FATAL,Y
1461,2000,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",Dorsum of left foot bitten,N
1462,2000,2006.0,USA,Florida,"Ponte Vedra Beach, St Johns County",Lower leg & ankle bitten,N
1463,2000,2006.0,USA,South Carolina,"Debordieu Beach, Georgetown County",Foot bitten,N
1464,2000,2006.0,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Right calf bitten,N
1465,2000,2006.0,USA,Florida,"Florida Keys, Monroe County",Lacerations & puncture wound  to arm,N
1466,2000,2006.0,USA,Florida,"Florida Keys, Monroe County",Minor injuries,N
1467,2000,2006.0,USA,Florida,"Hutchinson Island, St. Lucie County",Right calf bitten,N
1468,2000,2006.0,USA,Florida,Fort Myers,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N
1469,2000,2006.0,BAHAMAS,Andros Islands,Mangrove Cay,Right arm severely bitten,N
1470,2000,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",2-inch puncture wounds on right foot,N
1471,2000,2006.0,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",Left thigh bitten FATAL,Y
1472,2000,2006.0,USA,California,"Monterey, Monterey County","No injury, shark bit scuba tank boot",N
1473,2000,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",Four 1-inch puncture wounds on left foot ,N
1474,2000,2006.0,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Lacerations & puncture wounds to left foot & buttocks,N
1475,2000,2006.0,AUSTRALIA,South Australia,Waitpinga,"No injury, knocked off surfboard",N
1476,2000,2006.0,USA,Hawaii,O'ahu,"4"" laceration to left forearm",N
1477,2000,2006.0,USA,Hawaii,French Frigate Shoals,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N
1478,2000,2006.0,USA,Hawaii,"North Shore, O'ahu","No injury, shark bumped surfboard",N
1479,2000,2006.0,USA,Hawaii,Lanai,Knee bitten after diver poked shark PROVOKED INCIDENT,N
1480,2000,2006.0,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife","Injuries to left thigh, calf & foot",N
1481,2000,2006.0,USA,Guam,Gun Beach,Laceration to leg,N
1482,2000,2006.0,USA,Florida,"Cocoa Beach, Brevard  County",Small lacerations to arm,N
1483,2000,2006.0,USA,Florida,"Hutchinson Island, St. Lucie County",2 lacerations on lower right leg,N
1484,2000,2006.0,AUSTRALIA,Queensland,"Moffat Beach, Caloundra",Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N
1486,2000,2006.0,USA,Florida,"Sebastian Inlet, Brevard County",Feet bitten,N
1487,2000,2006.0,USA,Florida,"Daytona Beach, Volusia County",3 tiny punctures & small lacerations on right ankle,N
1488,2000,2006.0,USA,Florida,"Port of the Islands, Collier County",3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N
1489,2000,2006.0,AUSTRALIA,New South Wales,Newcastle Beach,Minor laceration to left foot,N
1490,2000,2006.0,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Leg bitten,N
1491,2000,2006.0,BRAZIL,Pernambuco,Piedade,Left leg bitten,N
1492,2000,2006.0,USA,Florida,"Marco Island, Collier County",Minor injury to right hand & thigh,N
1494,2000,2006.0,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",5 puncture wounds in left calf,N
1496,2000,2006.0,FIJI,Vitu Levu,Sigatoka,Lacerations to right hand,N
1497,2000,2006.0,AUSTRALIA,New South Wales,"Bondi, Sydney","No injury, shark nudged surfboard",N
1498,2000,2006.0,USA,Hawaii,"Makena, Maui",Deep laceration to right calf,N
1500,2000,2006.0,AUSTRALIA,Queensland,"Golden Beach, Caloundra",Lacerations to foot,N
1501,2000,2006.0,AUSTRALIA,Queensland,"Point Vernon, Hervey Bay",Puncture wound on arm,N
1502,2000,2006.0,AUSTRALIA,South Australia,"Brighton Beach, Adelaide",No injury to occupants; shark nudged the 5.3 m boat,N
1503,2000,2006.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",2 bite marks on right calf,N
1504,2000,2006.0,TONGA,Vava'u,Tuanuku,Severe bite to right leg FATAL,Y
1505,2000,2006.0,USA,Hawaii,"Off Pu'u Ola'l, Makena, Maui",No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N
1506,2000,2006.0,ATLANTIC OCEAN,300 miles from Antigua,,No injury to occupants; shark rammed boat repeatedly,N
1507,2000,2006.0,SOUTH AFRICA,Eastern Cape Province,Coffee Bay,Right arm  bitten,N
1508,2000,2006.0,ATLANTIC OCEAN,800 miles from land,,"No injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom",N
1509,2000,2006.0,USA,California,"Santa Cruz, Santa Cruz County","No injury, but 2 small nicks on wetsuit",N
1510,2000,2006.0,AUSTRALIA,Western Australia,"Off City Beach, Perth",Lacerations to left elbow,N
1512,2000,2006.0,AUSTRALIA,Queensland,"Amity Point, North Stradbroke Island",FATAL,Y
1513,2000,2006.0,USA,Florida,"Round Island Park, Indian River County",3 puncture wounds in right wrist & hand,N
1514,2000,2006.0,SOUTH AFRICA,Western Cape Province,Soetwater,Lacerations to little finger,N
1515,2000,2005.0,USA,Oregon,"Tillamook Head, Clatsop County",Lacerations to ankle & calf,N
1516,2000,2005.0,USA,Hawaii,"Keawakapu Beach, Maui",Left hand bitten,N
1517,2000,2005.0,ATLANTIC OCEAN,600 nm west of the Canary Islands,,"No injury to occupants, shark rammed boat for 15 minutes",N
1518,2000,2005.0,AUSTRALIA,Queensland,St. Crispin Reef,Right forearm & elbow bitten,N
1519,2000,2005.0,AUSTRALIA,South Australia,"Middle Beach, 40 km north of Adelaide","No injury to occupants, hydrofoil of outboard motor bitten ",N
1520,2000,2005.0,USA,Florida,"Cape San Blas, Gulf County",Left foot bitten,N
1521,2000,2005.0,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Right thumb & palm lacerated,N
1522,2000,2005.0,AUSTRALIA,Victoria,"6 km off Collendina, south of Melbourne","No injury to occupant, shark bit outboard motor",N
1523,2000,2005.0,AUSTRALIA,Victoria,Flinders,"2 lacerations on leg, each 4"" to 5"" long",N
1524,2000,2005.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London","Cut on finger, board bitten",N
1525,2000,2005.0,NEW CALEDONIA,Loyalty Islands,Maré,Arm bitten,N
1526,2000,2005.0,USA,Florida,"Jensen Beach, Martin County ",Left foot bitten,N
1527,2000,2005.0,USA,Florida,"New Smyrna  Beach, Volusia County",Lacerations to right thigh,N
1528,2000,2005.0,NEW CALEDONIA,,,"No injury to occupants, shark lifted bow of boat 3 times",N
1529,2000,2005.0,SOUTH AFRICA,Eastern Cape Province,Aston Bay,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N
1530,2000,2005.0,USA,Florida,"New Smyrna  Beach, Volusia County",Puncture wounds to right foot,N
1531,2000,2005.0,USA,California,"Mavericks, Half Moon Bay, San Mateo County","No injury, board bitten",N
1532,2000,2005.0,USA,California,"Ocean Beach, San Francisco, San Francisco County","No injury, board bumped",N
1533,2000,2005.0,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Puncture wounds to foot,N
1535,2000,2005.0,SOUTH AFRICA,Western Cape Province,Uilenkraalsmond (near Gansbaai),Right foot bitten,N
1536,2000,2005.0,USA,California,"Klamath River mouth, Del Norte County",No injury,N
1537,2000,2005.0,USA,California,"Salmon Beach, Sonoma County",Leg bitten,N
1538,2000,2005.0,USA,Florida,"Ponce Inlet, Volusia County",Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N
1539,2000,2005.0,USA,Hawaii,"Honokowai, Maui","No injury, surfboard bitten",N
1541,2000,2005.0,USA,Florida,"Ponce Inlet, Volusia County",Five 1-inch lacerations to left foot,N
1542,2000,2005.0,BAHAMAS,Abaco Islands,Grand Cay,Lacerations to right side of face,N
1543,2000,2005.0,SOUTH AFRICA,Western Cape Province,"Sunny Cove, Fish Hoek","No injury, shark bit ski",N
1544,2000,2005.0,AUSTRALIA,New South Wales,Arakoon's Little Bay,"No injury, knocked off board",N
1545,2000,2005.0,AUSTRALIA,South Australia,Kangaroo Island,Lacerations to legs,N
1546,2000,2005.0,AUSTRALIA,Western Australia,"Scarborough Beach, Perth", No injury,N
1548,2000,2005.0,USA,South Carolina,"Myrtle Beach, Horry County","Injuries to fingers, calf  & heel",N
1549,2000,2005.0,USA,South Carolina,Folly Beach,FATAL,Y
1550,2000,2005.0,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",Left foot & ankle lacerated,N
1551,2000,2005.0,USA,North Carolina,"North Topsail Beach, Onslow County",Calf severely lacerated,N
1552,2000,2005.0,AUSTRALIA,South Australia,"Fishery Bay, Eyre Peninsula",Lacerations to right arm & thigh,N
1553,2000,2005.0,USA,Florida,"Ponce Inlet, Volusia County",Right foot bitten,N
1555,2000,2005.0,AUSTRALIA,South Australia,Glenelg ,FATAL,Y
1556,2000,2005.0,USA,California,"Scripps, LaJolla, San Diego County",Lower right leg lacerated,N
1558,2000,2005.0,USA,South Carolina,"34th Avenue North, Myrtle Beach, Horry County",Bitten underneath left arm,N
1559,2000,2005.0,USA,Texas,Crystal Beach (east of Galveston),Left foot bitten,N
1561,2000,2005.0,USA,North Carolina,"Carolina Beach off Texas Avenue, New Hanover County",Laceration on right wrist & crescent of puncture wounds on  forearm ,N
1562,2000,2005.0,USA,South Carolina,"Isle of Palms, Charleston County",Puncture wounds on left foot ,N
1564,2000,2005.0,USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Laceration on the back of left hand & toothmarks on wrist,N
1565,2000,2005.0,USA,Florida,"Ormond Beach, Volusia County","Right foot: Toes and back of foot, minor injury",N
1570,2000,2005.0,USA,North Carolina,"Holden Beach, Brunswick County",Lacerations of left forearm,N
1571,2000,2005.0,USA,Texas,"Port Bolivar, Galveston County",Left foot bitten,N
1572,2000,2005.0,USA,Florida,"Boca Grande, Lee County",Ankle bitten,N
1573,2000,2005.0,USA,Florida,"Cape San Blas, Gulf County","Leg severely bitten, surgically amputated",N
1574,2000,2005.0,USA,Florida,"Destin, Walton County","FATAL, leg bitten",Y
1578,2000,2005.0,USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Foot bitten,N
1580,2000,2005.0,USA,South Carolina,"Kiawah Island, Charleston County",Foot lacerated,N
1582,2000,2005.0,SOUTH AFRICA,Western Cape Province,Miller's Point,FATAL,Y
1583,2000,2005.0,USA,Texas,"Mustang Island, Corpus Christi",Two 2-inch lacerations on right foot,N
1584,2000,2005.0,USA,Florida,Daytona Beach Shores,Left foot bitten,N
1585,2000,2005.0,USA,Florida,"Sand Key Beach, Clearwater, Pinellas County",Right arm & torso bitten,N
1586,2000,2005.0,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Left buttock  & legs lacerated ,N
1587,2000,2005.0,AUSTRALIA,Queensland,50 km east of Townsville,Severe injury to lower leg,N
1588,2000,2005.0,USA,Hawaii,"North Kihei, Maui","No injury, shark bit kayak",N
1590,2000,2005.0,USA,South Carolina,Off Sullivans Island,No injury,N
1591,2000,2005.0,USA,Hawaii,"Noreiga's, Maui","No injury, board damaged",N
1592,2000,2005.0,AUSTRALIA,New South Wales,Bermagui,Laceration on left thigh PROVOKED INCIDENT,N
1593,2000,2005.0,AUSTRALIA,New South Wales,Crookhaven,Shark-bitten surfboard found adrift,N
1594,2000,2005.0,AUSTRALIA,Northern Territory,Bremer Island,Minor cuts above his right eye,N
1595,2000,2005.0,AUSTRALIA,New South Wales,Bronte Beach,"No injury, board bitten",N
1596,2000,2005.0,USA,Florida,"Crescent Beach, Sarasota County",Right lower leg bitten,N
1598,2000,2005.0,USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County",Left foot bitten ,N
1599,2000,2005.0,USA,Florida,"Jacksonville Beach, Duval County",Left calf injured,N
1601,2000,2005.0,SOUTH AFRICA,Western Cape Province,Noordhoek,"Lacerations to right calf, puncture wounds on right foot",N
1602,2000,2005.0,AUSTRALIA,New South Wales,,"No injury, shark rammed surfboard",N
1604,2000,2005.0,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",FATAL,Y
1605,2000,2005.0,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N
1607,2000,2005.0,NEW ZEALAND,North Island,"Waiapu River mouth , East Cape","No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N
1608,2000,2005.0,SOLOMON ISLANDS,Santa Isabel Province,,Thighs bitten,N
1609,2000,2005.0,AUSTRALIA,Queensland,Brisbane River,Finger bitten,N
1610,2000,2005.0,USA,Florida,"Long Key, Monroe County",Speared shark bit his chest PROVOKED INCIDENT,N
1611,2000,2005.0,USA,Hawaii,"Rocky Point, north shore of O'ahu","No injury, knocked off board, shark bit board",N
1612,2000,2005.0,USA,Florida,Fort Lauderdale,Hand bitten,N
1613,2000,2005.0,BRAZIL,Bahia,Ilhéus,Right thigh & ankle injured,N
1614,2000,2005.0,CUBA,Santiago de Cuba Province,Uvero,Left foot severed,N
1615,2000,2005.0,AUSTRALIA,Victoria,Port Phillip Bay,No injury. Towed by speared shark PROVOKED INCIDENT,N
1616,2000,2005.0,AUSTRALIA,Victoria,Blairgowrie,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N
1617,2000,2005.0,NEW ZEALAND,North Island,Taupiri Bay,"No injury, kayak bumped repeatedly",N
1619,2000,2004.0,AUSTRALIA,South Australia,"West Beach, Adelaide",FATAL,Y
1620,2000,2004.0,AUSTRALIA,Queensland,Opal Reef,"FATAL, leg bitten",Y
1621,2000,2004.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",3 lacerations on foot,N
1622,2000,2004.0,SOUTH AFRICA,Eastern Cape Province,Gonubie,Lacerations on lower leg & foot,N
1623,2000,2004.0,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",FATAL,Y
1624,2000,2004.0,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County","Lacerations to hand, knee & thigh ",N
1626,2000,2004.0,NEW CALEDONIA,North Province,Koumac,Forearm bitten,N
1627,2000,2004.0,CUBA,Camaguey Province,Santa Lucia,Left forearm bitten,N
1629,2000,2004.0,SOUTH AFRICA,Western Cape Province,Gansbaai,Right ankle & foot lacerated,N
1630,2000,2004.0,AUSTRALIA,New South Wales,Stockton Beach,Right foot lacerated,N
1631,2000,2004.0,USA,California,"Limantour Beach, Point Reyes National Seashore",Lower leg bitten,N
1632,2000,2004.0,USA,Hawaii,Moloka'i,Left shoulder bitten,N
1633,2000,2004.0,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Puncture wounds on right foot,N
1634,2000,2004.0,REUNION,Conservatória District,"P' tit Paris, Saint-Pierre","Leg severely bitten, surgically amputated",N
1635,2000,2004.0,USA,California,"Pismo Beach, San Luis Obispo County","No injury, knocked off surfboard",N
1636,2000,2004.0,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County","No injury, shark struck board & spun it around",N
1637,2000,2004.0,AUSTRALIA,Queensland,Batt Reef,"No injury to occupants, boat damaged",N
1638,2000,2004.0,USA,Oregon,Gold  Beach,Leg bitten,N
1640,2000,2004.0,BRAZIL,Pernambuco,"Pina, Recife",FATAL,Y
1641,2000,2004.0,USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Left knee & leg bitten,N
1642,2000,2004.0,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Heel bitten,N
1643,2000,2004.0,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Calf bitten & both hands injured,N
1644,2000,2004.0,USA,California,"204s, San Clemente, Orange County",Foot bitten,N
1645,2000,2004.0,USA,California,"Kibesillah, Mendocino County",FATAL,Y
1646,2000,2004.0,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ","Back, buttocks, left hand & left side of face bitten",N
1647,2000,2004.0,AUSTRALIA,New South Wales,Byron Bay,Minor puncture wounds to leg,N
1648,2000,2004.0,SOUTH AFRICA,KwaZulu-Natal,Park Rynie,No injury to occupants; boat damaged,N
1649,2000,2004.0,USA,Florida,"Cocoa  Beach, Brevard County",Right foot bitten,N
1651,2000,2004.0,USA,North Carolina,"Rodanthe, Dare County",Right calf bitten,N
1652,2000,2004.0,USA,North Carolina,"Carolina Beach, New Hanover County",Right forearm & wrist lacerated,N
1653,2000,2004.0,USA,Texas,Galveston Island,Right foot bitten,N
1654,2000,2004.0,USA,Texas,"Bryan Beach, Brazoria County",Right forearm nearly severed and bites above & below the right knee,N
1655,2000,2004.0,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth","No injury to occupants; shark mouthed motor, severed anchor line",N
1656,2000,2004.0,JAPAN,Wakayama Prefecture,Susami,Suffered broken ribs when the shark's tail fin slammed into his chest,N
